timestamp,kWh,weekday,hour,temperature,Holiday
2013-01-01 00:00:00,0.2509595135439361,1,0.0,7.01,5.0
2013-01-01 01:00:00,0.2119003448720276,1,1.0,7.49,5.0
2013-01-01 02:00:00,0.1779640589217644,1,2.0,7.16,5.0
2013-01-01 03:00:00,0.1499066981666364,1,3.0,7.04,5.0
2013-01-01 04:00:00,0.13376093657651117,1,4.0,6.29,5.0
2013-01-01 05:00:00,0.12773915394808494,1,5.0,6.2,5.0
2013-01-01 06:00:00,0.1304167726629152,1,6.0,5.73,5.0
2013-01-01 07:00:00,0.1391159920130695,1,7.0,5.04,5.0
2013-01-01 08:00:00,0.1609956420010895,1,8.0,5.76,5.0
2013-01-01 09:00:00,0.18950916665456527,1,9.0,5.36,5.0
2013-01-01 10:00:00,0.21637629312034853,1,10.0,5.22,5.0
2013-01-01 11:00:00,0.24118152112906155,1,11.0,4.44,5.0
2013-01-01 12:00:00,0.2543447088219277,1,12.0,4.01,5.0
2013-01-01 13:00:00,0.26495425688872754,1,13.0,3.94,5.0
2013-01-01 14:00:00,0.2647524051552006,1,14.0,3.37,5.0
2013-01-01 15:00:00,0.27183172993283716,1,15.0,3.31,5.0
2013-01-01 16:00:00,0.2927732801778907,1,16.0,3.34,5.0
2013-01-01 17:00:00,0.35152641138137597,1,17.0,3.36,5.0
2013-01-01 18:00:00,0.3883457978762026,1,18.0,3.5,5.0
2013-01-01 19:00:00,0.38602141978580506,1,19.0,4.42,5.0
2013-01-01 20:00:00,0.3719555273915411,1,20.0,4.93,5.0
2013-01-01 21:00:00,0.3441308766926847,1,21.0,5.55,5.0
2013-01-01 22:00:00,0.3225069885460156,1,22.0,6.1,5.0
2013-01-01 23:00:00,0.2732229077691051,1,23.0,6.77,5.0
2013-01-02 00:00:00,0.236199673261935,2,0.0,4.01,-1.0
2013-01-02 01:00:00,0.18624832085677984,2,1.0,3.94,-1.0
2013-01-02 02:00:00,0.14908366615245008,2,2.0,3.37,-1.0
2013-01-02 03:00:00,0.13271706001814884,2,3.0,3.31,-1.0
2013-01-02 04:00:00,0.12621379308529945,2,4.0,3.34,-1.0
2013-01-02 05:00:00,0.12577059896551723,2,5.0,3.36,-1.0
2013-01-02 06:00:00,0.1386210525589837,2,6.0,3.5,-1.0
2013-01-02 07:00:00,0.1665882033756806,2,7.0,4.42,-1.0
2013-01-02 08:00:00,0.206157713339383,2,8.0,4.93,-1.0
2013-01-02 09:00:00,0.23030199637023596,2,9.0,5.55,-1.0
2013-01-02 10:00:00,0.2388773138838476,2,10.0,6.1,-1.0
2013-01-02 11:00:00,0.24602214132486389,2,11.0,6.77,-1.0
2013-01-02 12:00:00,0.25359546264972777,2,12.0,7.22,-1.0
2013-01-02 13:00:00,0.26569691462794914,2,13.0,7.58,-1.0
2013-01-02 14:00:00,0.26234736833030853,2,14.0,7.53,-1.0
2013-01-02 15:00:00,0.2708446180613542,2,15.0,7.64,-1.0
2013-01-02 16:00:00,0.29585877658377197,2,16.0,8.17,-1.0
2013-01-02 17:00:00,0.3410825921945907,2,17.0,8.78,-1.0
2013-01-02 18:00:00,0.37969195863133054,2,18.0,9.42,-1.0
2013-01-02 19:00:00,0.3950471956797967,2,19.0,9.86,-1.0
2013-01-02 20:00:00,0.39342748237429664,2,20.0,10.33,-1.0
2013-01-02 21:00:00,0.3641987655835905,2,21.0,10.51,-1.0
2013-01-02 22:00:00,0.3244985480399274,2,22.0,10.82,-1.0
2013-01-02 23:00:00,0.2726805805989111,2,23.0,10.77,-1.0
2013-01-03 00:00:00,0.23449655183303086,3,0.0,10.69,-1.0
2013-01-03 01:00:00,0.18078860469969155,3,1.0,10.31,-1.0
2013-01-03 02:00:00,0.14679695142442387,3,2.0,10.27,-1.0
2013-01-03 03:00:00,0.12900163326075123,3,3.0,10.28,-1.0
2013-01-03 04:00:00,0.12219923781527853,3,4.0,10.19,-1.0
2013-01-03 05:00:00,0.12219107238250773,3,5.0,9.74,-1.0
2013-01-03 06:00:00,0.13952767198330612,3,6.0,9.72,-1.0
2013-01-03 07:00:00,0.16869261480675016,3,7.0,9.65,-1.0
2013-01-03 08:00:00,0.21214080934494647,3,8.0,9.73,-1.0
2013-01-03 09:00:00,0.22652476851751044,3,9.0,10.13,-1.0
2013-01-03 10:00:00,0.2286575938849574,3,10.0,10.26,-1.0
2013-01-03 11:00:00,0.22672672827073126,3,11.0,10.42,-1.0
2013-01-03 12:00:00,0.23492614763200872,3,12.0,10.92,-1.0
2013-01-03 13:00:00,0.2368978405915442,3,13.0,11.41,-1.0
2013-01-03 14:00:00,0.22427744529123572,3,14.0,11.39,-1.0
2013-01-03 15:00:00,0.23166267437851568,3,15.0,11.38,-1.0
2013-01-03 16:00:00,0.2581369987298131,3,16.0,10.86,-1.0
2013-01-03 17:00:00,0.3222565776447106,3,17.0,10.42,-1.0
2013-01-03 18:00:00,0.3656668482126656,3,18.0,10.71,-1.0
2013-01-03 19:00:00,0.3850313915804754,3,19.0,10.69,-1.0
2013-01-03 20:00:00,0.3671658800362977,3,20.0,10.79,-1.0
2013-01-03 21:00:00,0.34862420624206136,3,21.0,10.85,-1.0
2013-01-03 22:00:00,0.31327599348575574,3,22.0,11.21,-1.0
2013-01-03 23:00:00,0.27079891110707804,3,23.0,10.84,-1.0
2013-01-04 00:00:00,0.23194700531760434,4,0.0,10.79,3.0
2013-01-04 01:00:00,0.17795514799346288,4,1.0,10.28,3.0
2013-01-04 02:00:00,0.14271822797748732,4,2.0,10.2,3.0
2013-01-04 03:00:00,0.1261697529956427,4,3.0,9.82,3.0
2013-01-04 04:00:00,0.12011165582788672,4,4.0,9.76,3.0
2013-01-04 05:00:00,0.12030337683369643,4,5.0,9.76,3.0
2013-01-04 06:00:00,0.13489778498547567,4,6.0,9.72,3.0
2013-01-04 07:00:00,0.1672543573710966,4,7.0,9.55,3.0
2013-01-04 08:00:00,0.21126234575163397,4,8.0,9.57,3.0
2013-01-04 09:00:00,0.2329068627995643,4,9.0,9.31,3.0
2013-01-04 10:00:00,0.22480973124546114,4,10.0,9.61,3.0
2013-01-04 11:00:00,0.2270163398148148,4,11.0,9.76,3.0
2013-01-04 12:00:00,0.22692937554466228,4,12.0,9.71,3.0
2013-01-04 13:00:00,0.2307362018700073,4,13.0,9.84,3.0
2013-01-04 14:00:00,0.23939941917211324,4,14.0,10.15,3.0
2013-01-04 15:00:00,0.26139664884356223,4,15.0,10.17,3.0
2013-01-04 16:00:00,0.2788320014166364,4,16.0,9.75,3.0
2013-01-04 17:00:00,0.3343804939520523,4,17.0,9.67,3.0
2013-01-04 18:00:00,0.36293700088961517,4,18.0,9.58,3.0
2013-01-04 19:00:00,0.3769831155591866,4,19.0,9.49,3.0
2013-01-04 20:00:00,0.3633576615831518,4,20.0,9.04,3.0
2013-01-04 21:00:00,0.33420243300653596,4,21.0,9.08,3.0
2013-01-04 22:00:00,0.30947821325344954,4,22.0,8.62,3.0
2013-01-04 23:00:00,0.27006336247276685,4,23.0,8.17,3.0
2013-01-05 00:00:00,0.2366399783587509,5,0.0,8.12,-1.0
2013-01-05 01:00:00,0.18887171103248052,5,1.0,8.09,-1.0
2013-01-05 02:00:00,0.15078461259299583,5,2.0,8.07,-1.0
2013-01-05 03:00:00,0.13161694808564686,5,3.0,8.09,-1.0
2013-01-05 04:00:00,0.12193140970785701,5,4.0,8.09,-1.0
